Name
Abhishek Santosh Raut
Ankeet Anil Chavan
Ankit Singh Rajpoot
Bharat Chipli
Doddapaneni Kalyankrishna
Harshit Pradeep Rana
Jaskaran Singh Buttar
Juan Theron
Kamran Akmal
Kamran Khan
Kona Srikar Bharat
Mukesh Choudhary
Paul Chandrashekar Valthaty
Prashant Hitesh Solanki
Prerak Nileshkumar Mankad
Priyam K Garg
Rajagopal Sathish
Robert John Quiney
Shivil Kaushik
Shoaib Shabbir Shaikh
Simarjeet Singh
Virat Binod Singh
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas
